1.295304484665393829e-02 5.372361838817596436e-02 2.074905205518007278e-03 2.608794893603771925e-04 2.846647286787629128e-03 4.461104108486324549e-04 2.332258882233873010e-04 8.470471203327178955e-02 1.499071018770337105e-03 5.565655417740345001e-03
1.647059107199311256e-04 4.455647140275686979e-04 1.067363307811319828e-03 8.211599197238683701e-05 2.344818130950443447e-05 1.045694880303926766e-04 7.335233385674655437e-05 1.289447827730327845e-04 5.035694222897291183e-03 1.248819753527641296e-04
3.148323739878833294e-04 2.440552925691008568e-04 1.933349645696580410e-03 2.001527231186628342e-03 1.328899525105953217e-03 3.785033011808991432e-03 1.393660088069736958e-03 1.741568325087428093e-03 8.783056400716304779e-04 5.073730368167161942e-03
7.150387973524630070e-04 5.739568732678890228e-04 3.182773361913859844e-04 3.666535252705216408e-03 1.480073551647365093e-03 3.615441091824322939e-04 4.963256287737749517e-05 1.228444557636976242e-02 1.146708615124225616e-02 6.375694065354764462e-04
2.170813422708306462e-05 2.433144254609942436e-05 2.140465767297428101e-05 1.027803591568954289e-04 2.001122629735618830e-05 3.913342152372933924e-05 3.422927809879183769e-03 2.939018668257631361e-05 2.155271795345470309e-05 2.801946720865089446e-05
1.341045572189614177e-04 3.487276146188378334e-03 1.382460468448698521e-04 3.603147051762789488e-04 6.718155462294816971e-03 3.134407597826793790e-05 2.520427551644388586e-05 1.184282358735799789e-03 2.377454424276947975e-03 1.283496269024908543e-03
5.702690395992249250e-05 2.566926996223628521e-04 1.290477113798260689e-03 1.234247116371989250e-03 8.844037074595689774e-05 6.060565938241779804e-04 1.568037696415558457e-04 3.574133734218776226e-04 5.813524476252496243e-04 1.966171112144365907e-04
9.997154120355844498e-05 1.498712081229314208e-04 2.935918455477803946e-04 4.023275323561392725e-05 6.551450496772304177e-05 3.420168301090598106e-03 3.399185152375139296e-05 1.168768649222329259e-04 4.718851414509117603e-04 2.343244850635528564e-03
1.061112052411772311e-04 1.406840019626542926e-04 4.114580340683460236e-03 2.029057592153549194e-03 5.828282795846462250e-03 3.242933016736060381e-04 2.425604965537786484e-03 2.125204075127840042e-03 1.492853480158373713e-04 8.382326923310756683e-04
2.843172842403873801e-05 2.750145176833029836e-05 1.062274677678942680e-04 9.081871248781681061e-04 2.063689498754683882e-05 1.620008697500452399e-04 1.894956920295953751e-03 2.510558406356722116e-04 4.183288197964429855e-03 3.806206586887128651e-05
6.584922084584832191e-04 7.310962246265262365e-05 1.885840087197721004e-03 7.906113751232624054e-03 3.163944929838180542e-04 1.582109485752880573e-03 1.343678683042526245e-02 6.347615737468004227e-03 1.054289517924189568e-03 1.250241533853113651e-03
3.093816898763179779e-02 2.270029857754707336e-02 9.886510670185089111e-03 1.020965911448001862e-02 3.541882708668708801e-02 6.814239546656608582e-03 7.889707572758197784e-03 1.715369336307048798e-02 3.221155842766165733e-03 2.415802143514156342e-02
